field,signal,value,delay
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,46.875,0.26965856552124
current,Vehicle.TripDuration,1.935,0.298
current,Vehicle.AverageSpeed,82.55,0.298
current,Vehicle.Service.DistanceToService,104.22,0.1
current,Vehicle.TraveledDistanceSinceStart,940.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,48,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,1.938,0.298
current,Vehicle.AverageSpeed,82.95,0.298
current,Vehicle.Service.DistanceToService,104.34,0.1
current,Vehicle.TraveledDistanceSinceStart,945.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,41,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,59.6875,0.26965856552124
current,Vehicle.TripDuration,1.940,0.298
current,Vehicle.AverageSpeed,82.95,0.298
current,Vehicle.Service.DistanceToService,104.37,0.1
current,Vehicle.TraveledDistanceSinceStart,953.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,50,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,1.951,0.298
current,Vehicle.AverageSpeed,81.95,0.298
current,Vehicle.Service.DistanceToService,104.44,0.1
current,Vehicle.TraveledDistanceSinceStart,960.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,55,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,44.6875,0.26965856552124
current,Vehicle.TripDuration,1.955,0.298
current,Vehicle.AverageSpeed,80.75,0.298
current,Vehicle.Service.DistanceToService,104.51,0.1
current,Vehicle.TraveledDistanceSinceStart,961.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,63,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,1.958,0.298
current,Vehicle.AverageSpeed,80.95,0.298
current,Vehicle.Service.DistanceToService,104.59,0.1
current,Vehicle.TraveledDistanceSinceStart,963.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,54,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,52.6875,0.26965856552124
current,Vehicle.TripDuration,1.962,0.298
current,Vehicle.AverageSpeed,80.91,0.298
current,Vehicle.Service.DistanceToService,104.63,0.1
current,Vehicle.TraveledDistanceSinceStart,965.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,51,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,1.965,0.298
current,Vehicle.AverageSpeed,80.95,0.298
current,Vehicle.Service.DistanceToService,104.68,0.1
current,Vehicle.TraveledDistanceSinceStart,968.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,51,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
